country_name,enroll_mean,enroll_var,max_sites
Argentina,0.119772907292732,0.0567082762702618,12
Austria,0.192334329301287,0.111002141963495,8
Australia,0.0618951894087672,0.0313009416199871,10
Belgium,0.0286274875512264,6.57009731286169e-05,6
Bulgaria,0.119838446575526,0.0352066820442973,7
Chile,0.0806564602327388,0.0147741339401526,9
China,0.0791928399316703,0.000860370177161715,15
Czech Republic,0.0473969393018412,0.00311255898353705,5
Estonia,0.222907907834042,0.148589410569972,6
Spain,0.140656438344257,0.251672584664282,11
Finland,0.228451851974456,0.186371171190654,7
United Kingdom,0.240697308137417,0.174378365461528,14
Greece,0.0446349424012019,0.000367013470584561,5
Hong Kong,0.0341052241463141,0.000171997099524204,4
Croatia,0.0287313432835821,0.00230693547189426,4
Hungary,0.223994825296515,0.084195557331705,8
India,0.815384615384615,0.170414201183432,20
Italy,0.0864162712152835,0.0329968169373322,10
South Korea,0.119278535368533,0.0656415681621831,9
Mexico,0.292446636045215,0.332556808949861,12
Malaysia,0.0253909884412825,0.000360250892786568,5
Netherlands,0.218052663079997,0.150428177274775,8
New Zealand,0.348039215686274,0.203046905036524,6
Peru,0.549295774647887,0.406268597500496,8
Philippines,0.031464518705898,0.00022036023023808,6
Pakistan,0.286351674641148,0.228234740314248,10
Poland,0.156966230122541,0.0889324754210265,11
Portugal,0.0371447028423773,0.000175478570331644,5
Russia,0.105837056590878,0.0106998573962253,13
Sweden,0.0583303664614245,0.00836066031579909,6
Slovenia,0.0355189241427243,0.000209162555319519,4
Slovakia,0.128137225097023,0.0838120196358846,7
United States,0.261467907927595,0.223706111169478,18
South Africa,0.0867855922595078,0.046715154428215,8
